" ","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Crimes","","","","","","","","","",""
"Violent Crimes","25,156","28,817","30,507","30,126","29,400","28,882","30,956","31,772","31,047","29,089"
"Homicide","282","293","281","258","258","351","401","387","324","280"
"Rape (Forcible Rape prior to 2014)","2,209","2,343","2,455","2,528","2,274","1,983","2,064","2,083","1,945","1,679"
"Rape","2,065","2,218","2,337","2,443","2,172","1,908","1,980","1,998","1,859","1,598"
"Attempted Rape","144","125","118","85","102","75","84","85","86","81"
"Robbery","8,952","10,307","10,814","10,327","9,652","8,013","8,472","9,124","8,711","8,484"
"Weapon","","","","","","","","","",""
"Firearm","2,294","2,816","2,804","2,536","2,308","2,185","2,590","3,020","2,637","2,072"
"Knife or Cutting Instrument","971","1,172","1,214","1,148","1,047","947","1,010","1,003","972","1,012"
"Other Weapon","1,034","1,227","1,348","1,394","1,276","1,163","1,274","1,332","1,376","1,206"
"Strong-Arm","4,653","5,092","5,448","5,249","5,021","3,718","3,598","3,769","3,726","4,194"
"Location","","","","","","","","","",""
"Highway","6,114","6,685","7,022","6,601","6,086","4,990","5,099","5,255","4,683","4,159"
"Commercial","1,686","2,126","2,087","2,007","1,929","1,591","1,885","2,189","2,424","1,682"
"Gas Station","159","160","192","197","170","168","199","250","176","187"
"Convenience Store","148","183","227","205","226","205","219","264","234","448"
"Residence","456","745","689","651","651","628","590","573","555","420"
"Bank","76","72","85","74","42","43","26","49","52","38"
"Miscellaneous","313","336","512","592","548","388","454","544","587","1,550"
"Aggravated Assault","13,713","15,874","16,957","17,013","17,216","18,535","20,019","20,178","20,067","18,646"
"Weapon","","","","","","","","","",""
"Firearm","3,524","4,243","4,068","4,012","3,962","5,147","5,859","5,802","5,620","4,617"
"Knife or Cutting Instrument","3,294","3,818","4,189","4,295","4,384","4,563","4,832","4,886","4,967","4,655"
"Other Weapon","3,953","4,521","4,837","5,000","5,057","5,454","5,638","5,781","5,719","6,304"
"Hands  Fists  Feet","2,942","3,292","3,863","3,706","3,813","3,371","3,690","3,709","3,761","3,070"
"Property Crimes","93,503","99,151","101,618","101,267","95,704","85,932","91,944","103,171","107,777","102,289"
"Burglary","16,160","15,821","16,668","15,988","13,809","13,773","13,085","15,013","15,385","14,759"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","12,577","12,283","13,112","12,626","10,754","10,938","10,044","12,055","12,667","11,863"
"No Force","3,583","3,538","3,556","3,362","3,055","2,835","3,041","2,958","2,718","2,896"
"Location / Time","","","","","","","","","",""
"Residence","10,612","10,085","10,155","9,873","7,945","6,017","6,473","7,397","8,164","7,349"
"Night","2,071","2,167","2,529","2,508","2,135","1,940","2,092","2,498","2,741","3,184"
"Day","5,550","5,034","4,850","4,674","3,725","2,687","2,821","3,272","3,616","3,546"
"Unknown","2,991","2,884","2,776","2,691","2,085","1,390","1,560","1,627","1,807","619"
"Non-Residence","5,548","5,736","6,513","6,115","5,864","7,756","6,612","7,616","7,221","7,410"
"Night","1,766","2,049","2,542","2,363","2,194","3,095","2,606","3,635","3,609","3,900"
"Day","2,142","2,058","2,159","2,204","2,291","2,927","2,458","2,291","2,187","3,080"
"Unknown","1,640","1,629","1,812","1,548","1,379","1,734","1,548","1,690","1,425","430"
"Motor Vehicle Theft","16,152","18,591","19,193","17,316","15,642","21,169","24,307","25,493","25,594","23,681"
"Automotive","13,317","14,967","10,225","8,659","7,140","8,698","10,091","10,799","12,322","11,566"
"Trucks and Buses","2,044","2,694","7,562","7,673","7,599","10,973","12,441","12,821","11,707","10,748"
"Other","791","930","1,406","984","903","1,498","1,775","1,873","1,565","1,367"
"Larceny-Theft","61,191","64,739","65,757","67,963","66,253","50,990","54,552","62,665","66,798","63,849"
"Type","","","","","","","","","",""
"Pocket-Picking","134","148","205","170","212","61","145","1,030","1,248","1,538"
"Purse-Snatching","147","126","141","107","79","36","28","23","30","128"
"Shoplifting","6,447","7,146","6,476","6,667","6,776","4,096","3,587","6,476","11,934","12,630"
"From Motor Vehicle","14,701","17,070","18,399","18,316","16,959","12,758","13,638","14,409","13,537","13,048"
"Motor Vehicle Accessories","13,567","14,342","14,316","14,741","14,372","14,565","16,016","18,041","16,996","14,142"
"Bicycles","1,716","2,335","2,366","2,482","2,438","2,028","2,164","1,832","1,818","1,213"
"From Building","18,388","17,592","17,734","18,966","18,541","12,353","13,361","14,882","15,242","11,752"
"Coin Operated Machine","54","51","48","31","35","16","6","4","8","13"
"Other","6,037","5,929","6,072","6,483","6,841","5,077","5,607","5,968","5,985","9,385"
"Value","","","","","","","","","",""
"Over $400","27,609","29,349","30,089","31,713","31,463","23,915","null","null","null","null"
"Over $200","0","0","0","0","0","0","35,609","42,810","43,720","39,731"
"$200 through $400","9,618","9,936","9,453","9,457","9,142","6,620","null","null","null","null"
"$50 through $199","10,552","10,723","10,025","10,266","9,946","6,869","6,142","6,376","8,079","8,720"
"Under $50","13,412","14,731","16,190","16,527","15,702","13,586","12,801","13,479","14,999","15,398"
"Arson","1,131","1,241","1,414","1,654","1,672","2,994","3,531","1,881","179","472"
"Structural Property","199","217","264","246","269","370","470","407","153","154"
"Mobile Property","208","170","169","157","112","241","319","101","13","97"
"Other Property","724","854","981","1,251","1,291","2,383","2,742","1,373","13","221"
