" ","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Crimes","","","","","","","","","",""
"Violent Crimes","3,611","3,549","3,378","3,329","3,223","3,547","4,105","4,749","4,237","3,975"
"Homicide","43","41","39","36","34","42","58","54","41","45"
"Rape (Forcible Rape prior to 2014)","105","88","99","102","127","125","159","186","170","181"
"Rape","98","82","87","92","119","113","149","182","164","178"
"Attempted Rape","7","6","12","10","8","12","10","4","6","3"
"Robbery","1,174","1,136","1,100","1,052","1,039","879","994","1,243","1,192","1,012"
"Weapon","","","","","","","","","",""
"Firearm","397","398","375","298","260","202","221","221","227","197"
"Knife or Cutting Instrument","84","73","67","54","70","55","72","80","84","63"
"Other Weapon","126","109","107","130","109","125","164","196","166","135"
"Strong-Arm","567","556","551","570","600","497","537","746","715","617"
"Location","","","","","","","","","",""
"Highway","566","522","521","500","516","373","404","500","326","324"
"Commercial","261","234","214","224","256","218","265","402","431","328"
"Gas Station","38","30","24","28","22","32","35","42","54","50"
"Convenience Store","40","28","26","43","27","42","41","44","44","52"
"Residence","161","226","215","147","129","143","180","136","107","73"
"Bank","10","14","5","10","19","15","15","7","17","10"
"Miscellaneous","98","82","95","100","70","56","54","112","213","175"
"Aggravated Assault","2,289","2,284","2,140","2,139","2,023","2,501","2,894","3,266","2,834","2,737"
"Weapon","","","","","","","","","",""
"Firearm","742","778","712","604","512","727","902","828","659","562"
"Knife or Cutting Instrument","414","341","301","334","300","333","418","458","365","336"
"Other Weapon","790","843","830","888","892","1,145","1,220","1,515","1,174","1,107"
"Hands  Fists  Feet","343","322","297","313","319","296","354","465","636","732"
"Property Crimes","16,501","15,283","14,683","15,417","16,354","14,248","15,477","16,681","15,305","13,416"
"Burglary","3,713","3,070","2,888","2,751","2,993","2,834","2,562","2,769","2,752","2,326"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","2,516","2,000","1,951","1,845","1,960","1,922","1,681","1,855","2,165","1,881"
"No Force","1,197","1,070","937","906","1,033","912","881","914","587","445"
"Location / Time","","","","","","","","","",""
"Residence","2,523","2,017","1,830","1,679","1,606","1,176","1,205","1,171","925","859"
"Night","615","519","430","418","432","384","409","370","446","429"
"Day","1,018","798","701","592","598","392","359","456","479","430"
"Unknown","890","700","699","669","576","400","437","345","0","0"
"Non-Residence","1,190","1,053","1,058","1,072","1,387","1,658","1,357","1,598","1,827","1,467"
"Night","486","475","456","473","628","800","601","759","1,141","876"
"Day","389","293","267","293","423","514","413","490","686","591"
"Unknown","315","285","335","306","336","344","343","349","0","0"
"Motor Vehicle Theft","2,923","2,824","2,718","2,883","2,717","2,511","3,165","3,584","3,703","2,684"
"Automotive","2,499","2,430","2,313","2,301","2,135","2,005","2,436","2,494","2,819","2,000"
"Trucks and Buses","280","267","271","432","397","347","496","787","714","542"
"Other","144","127","134","150","185","159","233","303","170","142"
"Larceny-Theft","9,865","9,389","9,077","9,783","10,644","8,903","9,750","10,328","8,850","8,406"
"Type","","","","","","","","","",""
"Pocket-Picking","5","0","3","2","2","4","2","10","95","35"
"Purse-Snatching","22","13","12","9","16","18","28","31","53","47"
"Shoplifting","1,039","886","508","402","286","124","231","547","2,265","1,443"
"From Motor Vehicle","3,127","3,121","3,106","3,910","4,440","3,249","2,781","3,053","2,326","2,282"
"Motor Vehicle Accessories","929","941","921","1,043","1,079","1,098","1,501","1,081","1,082","663"
"Bicycles","848","655","612","628","534","432","323","400","325","326"
"From Building","191","127","72","31","73","28","35","63","200","178"
"Coin Operated Machine","3","6","2","7","1","2","2","1","1","7"
"Other","3,701","3,640","3,841","3,751","4,213","3,948","4,847","5,142","2,503","3,425"
"Value","","","","","","","","","",""
"Over $400","4,079","4,060","3,967","4,439","5,033","4,022","null","null","null","null"
"Over $200","0","0","0","0","0","0","6,178","6,767","5,442","5,029"
"$200 through $400","1,593","1,392","1,394","1,381","1,527","1,212","null","null","null","null"
"$50 through $199","1,845","1,670","1,520","1,535","1,533","1,199","1,151","1,337","1,348","1,327"
"Under $50","2,348","2,267","2,196","2,428","2,551","2,470","2,421","2,224","2,060","2,050"
"Arson","140","173","209","146","179","260","191","202","136","154"
"Structural Property","54","69","75","47","62","77","53","64","29","47"
"Mobile Property","27","35","46","39","41","49","36","39","44","23"
"Other Property","59","69","88","60","76","134","102","99","63","84"
