" ","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Crimes","","","","","","","","","",""
"Violent Crimes","5,582","5,332","5,221","5,360","5,215","5,303","5,685","5,919","5,760","5,727"
"Homicide","37","50","35","35","50","56","53","53","40","35"
"Rape (Forcible Rape prior to 2014)","566","572","559","605","561","485","450","406","297","297"
"Rape","434","442","457","456","482","436","447","404","295","292"
"Attempted Rape","132","130","102","149","79","49","3","2","2","5"
"Robbery","1,378","1,387","1,410","1,439","1,346","1,207","1,098","1,287","1,204","1,075"
"Weapon","","","","","","","","","",""
"Firearm","185","239","220","222","193","209","205","200","142","124"
"Knife or Cutting Instrument","116","109","125","114","148","146","123","153","167","148"
"Other Weapon","142","137","161","135","245","253","202","222","184","168"
"Strong-Arm","935","902","904","968","760","599","568","712","711","635"
"Location","","","","","","","","","",""
"Highway","797","755","781","836","674","575","332","396","325","330"
"Commercial","267","234","228","203","280","290","338","413","433","352"
"Gas Station","15","55","47","55","35","27","27","39","26","19"
"Convenience Store","45","35","38","32","67","113","97","107","101","98"
"Residence","90","93","85","84","86","83","4","65","61","61"
"Bank","24","21","18","23","26","11","11","19","16","11"
"Miscellaneous","140","194","213","206","178","108","289","248","242","204"
"Aggravated Assault","3,601","3,323","3,217","3,281","3,258","3,555","4,084","4,173","4,219","4,320"
"Weapon","","","","","","","","","",""
"Firearm","400","461","364","414","452","578","728","595","429","366"
"Knife or Cutting Instrument","743","713","715","763","699","731","808","940","874","773"
"Other Weapon","1,533","1,461","1,552","1,493","1,395","1,381","1,454","1,427","1,374","1,506"
"Hands  Fists  Feet","925","688","586","611","712","865","1,094","1,211","1,542","1,675"
"Property Crimes","29,158","28,624","26,246","27,416","27,141","24,321","27,184","24,932","24,970","23,199"
"Burglary","5,129","4,743","3,817","3,752","3,543","3,324","3,515","3,286","2,777","2,603"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","1,966","1,912","1,606","1,556","1,894","1,989","2,144","2,055","1,716","1,570"
"No Force","3,163","2,831","2,211","2,196","1,649","1,335","1,371","1,231","1,061","1,033"
"Location / Time","","","","","","","","","",""
"Residence","3,609","3,266","2,390","2,287","1,890","1,577","64","1,135","1,347","1,276"
"Night","720","563","490","537","464","454","33","549","644","603"
"Day","1,267","1,171","686","635","564","436","31","586","703","673"
"Unknown","1,622","1,532","1,214","1,115","862","687","0","0","0","0"
"Non-Residence","1,520","1,477","1,427","1,465","1,653","1,747","3,451","2,151","1,430","1,327"
"Night","510","549","513","522","728","792","1,876","1,279","834","809"
"Day","294","262","246","261","293","307","1,575","872","596","518"
"Unknown","716","666","668","682","632","648","0","0","0","0"
"Motor Vehicle Theft","5,096","5,839","5,135","5,182","5,172","4,953","6,450","6,624","6,774","5,494"
"Automotive","4,153","4,749","3,902","4,033","4,188","3,960","5,368","5,470","5,090","4,674"
"Trucks and Buses","412","481","600","614","409","459","46","45","45","35"
"Other","531","609","633","535","575","534","1,036","1,109","1,639","785"
"Larceny-Theft","18,933","18,042","17,294","18,482","18,426","16,044","17,219","15,022","15,419","15,102"
"Type","","","","","","","","","",""
"Pocket-Picking","18","22","29","19","39","16","64","63","54","82"
"Purse-Snatching","70","55","35","40","84","88","77","76","67","68"
"Shoplifting","2,889","2,311","1,801","1,585","1,660","1,008","1,080","1,144","1,384","2,635"
"From Motor Vehicle","6,661","7,161","7,124","7,721","7,118","6,543","7,867","5,689","5,358","4,578"
"Motor Vehicle Accessories","373","304","259","237","781","413","995","787","803","831"
"Bicycles","2,049","1,574","1,331","2,001","1,484","1,676","1,518","1,113","968","1,106"
"From Building","4,413","4,476","4,611","4,575","5,063","4,674","478","392","409","315"
"Coin Operated Machine","20","29","18","9","13","2","4","8","5","6"
"Other","2,440","2,110","2,086","2,295","2,184","1,624","5,136","5,750","6,371","5,481"
"Value","","","","","","","","","",""
"Over $400","8,435","8,380","7,924","9,143","9,265","8,283","null","null","null","null"
"Over $200","0","0","0","0","0","0","12,828","11,088","10,662","10,329"
"$200 through $400","2,972","2,640","2,629","2,792","2,765","2,541","null","null","null","null"
"$50 through $199","3,302","3,008","2,766","2,744","2,802","2,458","2,266","2,348","3,233","3,126"
"Under $50","4,224","4,014","3,975","3,803","3,594","2,762","2,125","1,586","1,524","1,647"
"Arson","174","239","158","187","122","222","156","174","138","136"
"Structural Property","95","137","91","87","55","59","68","51","42","51"
"Mobile Property","40","55","44","63","22","41","37","39","40","18"
"Other Property","39","47","23","37","45","122","51","84","56","67"
