" ","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Crimes","","","","","","","","","",""
"Violent Crimes","6,710","6,190","6,301","6,144","5,933","4,796","4,887","5,323","5,559","4,789"
"Homicide","53","57","56","46","40","48","56","55","51","35"
"Rape (Forcible Rape prior to 2014)","344","342","367","354","324","198","205","308","292","280"
"Rape","324","328","313","294","269","152","140","294","235","277"
"Attempted Rape","20","14","54","60","55","46","65","14","57","3"
"Robbery","3,610","3,175","3,220","3,165","3,055","2,388","2,245","2,371","2,738","2,145"
"Weapon","","","","","","","","","",""
"Firearm","616","563","576","446","365","373","462","591","671","395"
"Knife or Cutting Instrument","340","293","315","279","211","187","184","176","209","166"
"Other Weapon","338","269","312","311","313","251","248","206","213","203"
"Strong-Arm","2,316","2,050","2,017","2,129","2,166","1,577","1,351","1,398","1,645","1,381"
"Location","","","","","","","","","",""
"Highway","1,285","974","858","792","685","455","441","532","583","444"
"Commercial","139","153","187","148","124","124","87","74","98","58"
"Gas Station","19","19","8","7","4","8","7","11","11","6"
"Convenience Store","170","222","251","263","181","164","149","123","122","81"
"Residence","46","47","50","63","40","44","58","43","27","27"
"Bank","46","22","26","22","18","19","20","34","18","13"
"Miscellaneous","1,905","1,738","1,840","1,870","2,003","1,574","1,483","1,554","1,879","1,516"
"Aggravated Assault","2,703","2,616","2,658","2,579","2,514","2,162","2,381","2,589","2,478","2,329"
"Weapon","","","","","","","","","",""
"Firearm","264","310","295","203","204","287","334","370","340","250"
"Knife or Cutting Instrument","388","337","325","324","287","316","288","307","319","309"
"Other Weapon","1,146","1,084","1,183","1,167","1,145","996","1,062","1,134","1,058","998"
"Hands  Fists  Feet","905","885","855","885","878","563","697","778","761","772"
"Property Crimes","53,019","47,402","54,356","49,214","48,780","38,737","44,702","47,759","44,720","31,545"
"Burglary","5,186","4,978","4,935","5,322","4,644","7,452","7,246","5,947","5,643","5,118"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","2,454","2,332","2,477","2,702","2,318","4,380","4,385","3,351","3,388","2,985"
"No Force","2,732","2,646","2,458","2,620","2,326","3,072","2,861","2,596","2,255","2,133"
"Location / Time","","","","","","","","","",""
"Residence","2,242","2,045","1,997","1,907","1,702","2,648","2,850","2,413","2,274","1,882"
"Night","824","844","802","806","763","1,587","1,604","1,311","1,333","1,051"
"Day","1,269","1,133","1,195","1,101","939","1,061","1,246","1,102","941","831"
"Unknown","149","68","0","0","0","0","0","0","0","0"
"Non-Residence","2,944","2,933","2,938","3,415","2,942","4,804","4,396","3,534","3,369","3,236"
"Night","1,741","1,874","1,858","2,149","1,902","3,223","3,002","2,352","2,338","2,283"
"Day","1,021","991","1,078","1,266","1,040","1,581","1,394","1,182","1,031","953"
"Unknown","182","68","2","0","0","0","0","0","0","0"
"Motor Vehicle Theft","6,915","5,433","4,834","4,217","4,249","5,966","6,042","6,282","6,704","5,401"
"Automotive","5,692","4,325","3,775","3,246","3,047","4,146","4,281","4,354","5,166","3,992"
"Trucks and Buses","438","445","419","419","397","770","964","891","794","500"
"Other","785","663","640","552","805","1,050","797","1,037","744","909"
"Larceny-Theft","40,918","36,991","44,587","39,675","39,887","25,319","31,414","35,530","32,373","21,026"
"Type","","","","","","","","","",""
"Pocket-Picking","1,059","810","739","754","667","196","194","369","373","409"
"Purse-Snatching","115","38","45","28","29","14","14","25","21","8"
"Shoplifting","2,458","1,907","2,188","2,289","2,298","1,509","2,681","2,766","2,191","2,888"
"From Motor Vehicle","22,883","20,661","29,736","24,491","24,593","14,169","20,000","21,594","18,968","8,815"
"Motor Vehicle Accessories","144","0","76","64","170","363","645","1,047","688","321"
"Bicycles","1,051","759","683","510","441","395","394","370","321","273"
"From Building","2,942","2,560","2,609","2,375","2,300","1,687","1,479","1,522","1,555","1,484"
"Coin Operated Machine","18","7","7","11","10","3","7","2","3","0"
"Other","10,248","10,249","8,504","9,153","9,379","6,983","6,000","7,835","8,253","6,828"
"Value","","","","","","","","","",""
"Over $400","2,207","2,380","21,024","27,423","27,903","16,349","null","null","null","null"
"Over $200","0","0","0","0","0","0","24,182","27,002","23,956","14,303"
"$200 through $400","1,051","307","3,266","4,405","4,202","2,895","null","null","null","null"
"$50 through $199","979","238","3,097","4,143","3,996","3,010","3,418","3,265","2,852","2,491"
"Under $50","36,681","34,066","17,200","3,704","3,786","3,065","3,814","5,263","5,565","4,232"
"Arson","272","255","303","288","275","377","378","344","324","266"
"Structural Property","57","70","74","101","85","116","187","217","191","167"
"Mobile Property","78","74","95","70","78","114","154","116","131","98"
"Other Property","137","111","134","117","112","147","37","11","2","1"
